ID,salary_min,salary_max,letter
1730,2985,3135,B
2768,3071,3665,B
132513,3800,4367,B
8745,2944,3256,B
15144,,,B
6967,2377,3001,B
6785,4509,5073,B
4539,,,B
4540,3523,4146,B
2674,,,B
2676,3523,4146,B
1871,2985,3135,B
4199,,,B
4776,,,B
4552,3523,4146,B
90474,,,B
90469,,,B
7267,3890,4586,B
7186,2382,,B
9548,,,B
115578,,,B
15038,3891,4803,B
4316,,,B
5891,4011,4503,B
3790,4011,4503,B
3789,3588,,B
93615,,,B
94367,,,B
3813,2347,2464,B
2077,3060,3362,B
4790,,,B
4201,,,B
4202,4602,5054,B
90590,,,B
15040,3182,3934,B
1293,3648,4419,B
1419,,,B
13749,2205,2545,B
59239,4664,,B
7693,3504,3800,B
93630,,,B
94161,,,B
94124,,,B
93613,,,B
59241,3782,5798,B
2443,,,B
2444,3342,3745,B
10073,1924,2035,B
10197,1951,,B
93770,,,B
94337,,,B
8544,2099,2497,B
8499,2000,,B
58692,2000,,B
8502,2000,,B
14080,2000,,B
8510,2000,,B
8409,2795,3638,B
8405,2795,3638,B
4500,2000,,B
15046,3342,3745,B
130315,,,B
1556,,,B
7169,2825,3128,B
15350,,,B
133472,4509,5073,B
15007,4604,5819,B
58454,3119,,C
14022,3119,,C
14025,3362,3960,C
14688,2509,2649,C
29399,3258,,C
14964,,,C
27267,,,C
14464,4604,5581,C
7467,3130,3432,C
134894,,,C
7327,,,C
10034,2477,2718,C
28019,,,C
7328,,,C
90188,,,C
94225,,,C
93947,,,C
94396,,,C
94185,,,C
13809,2827,3332,C
1169,2949,3171,C
1143,3088,3582,C
58694,4757,5647,C
5793,3204,3781,C
94166,,,C
93682,,,C
130952,,,C
134613,4604,5819,C
134512,4604,5819,C
10042,2254,2477,C
117083,,,C
2436,,,C
2437,3342,3745,C
59252,2000,,C
93637,,,C
8398,2795,3638,C
14962,3928,5013,C
133473,4604,5819,C
27289,,,C
1872,3060,3362,C
1795,3060,3362,C
1935,3362,3960,C
1832,3060,3362,C
1891,3060,3362,C
7333,,,C
125536,,,C
94244,,,C
15127,,,C
14586,2950,3526,C
89949,4825,6444,C
27272,,,C
58695,,,C
93640,,,C
93872,,,C
94078,,,C
93768,,,C
59496,4509,5073,C
100522,3749,4759,C
93721,,,C
93851,,,C
14398,3499,,C
51002,3960,5341,C
134900,,,C
15461,,,C
134373,,,C
14345,,,C
132575,,,C
4302,,,D
129406,,,D
4051,,,D
4038,4822,4980,D
9914,1741,2248,D
129987,4604,5819,D
14993,4604,5819,D
27353,2399,2647,D
8261,,,D
129986,,,D
129988,,,D
7279,3890,4586,D
5848,3225,3958,D
10032,2254,2477,D
10041,2254,2477,D
9761,3782,5798,D
94395,,,D
5090,3782,5798,D
8355,3182,3524,D
123685,,,D
15837,2976,3176,D
15836,2976,3176,D
100525,3928,5013,D
94386,,,D
93965,,,D
14557,3241,,D
14326,2639,3301,D
14217,2639,3301,D
13968,2639,3301,D
8459,2639,3301,D
14319,2111,3221,D
59253,,,D
13624,2825,3128,D
3814,2347,2464,D
3816,2699,,D
5375,3362,3960,D
14346,,,D
93664,,,D
93716,,,D
133692,4604,5819,D
114216,3125,4476,D
13889,3928,6444,D
8899,2944,3256,D
8902,3928,6444,D
3742,2944,3256,D
9897,3417,4088,D
9896,2817,3360,D
9084,2817,3964,D
9083,,,D
93899,,,D
93829,,,D
7164,2727,2985,D
134897,,,D
128337,,,D
128338,,,D
6879,3325,3821,D
58696,2000,,D
94100,,,D
94421,,,D
8421,,,D
33344,3032,3490,D
14094,2654,3050,D
133420,4604,5581,D
59274,,,D
6794,2604,3258,D
94207,,,D
