letter,ID
D,94386
D,93965
D,14557
D,14326
D,14217
D,13968
D,8459
D,14319
D,59253
D,13624
D,3814
D,3816
D,5375
D,14346
D,93664
D,93716
D,133692
D,114216
D,13889
D,8899
D,8902
D,3742
D,9897
D,9896
D,9084
D,9083
D,93899
D,93829
D,7164
D,134897
D,128337
D,128338
D,6879
D,58696
D,94100
D,94421
D,8421
D,33344
D,14094
D,133420
D,59274
D,6794
D,94207
D,94005
D,8302
D,8303
D,15365
D,9078
D,9178
D,9449
D,9284
D,30226
D,8282
D,93809
D,94162
D,1529
D,1528
D,1539
D,59034
D,4795
D,6712
D,93982
D,94023
D,1424
D,15419
D,15355
E,134892
E,8279
E,14994
E,134756
E,133292
E,6418
E,2610
E,897
E,131163
E,131165
E,131166
E,131167
E,94241
E,100519
E,15057
E,7729
E,15060
E,8963
E,6600
E,59145
E,8170
E,7139
E,8095
E,3983
E,7119
E,7111
E,3911
E,9549
E,2774
E,15481
E,2842
E,120089
E,120090
E,134713
E,15630
E,15623
E,2793
E,15636
E,15621
E,134715
E,15632
E,59048
E,59049
E,59047
E,122382
E,134719
E,134718
E,58995
E,2072
E,94126
E,94219
E,2738
E,5502
E,10019
E,14469
E,10018
E,133332
E,94198
E,93845
E,93410
E,93636
E,93778
E,8369
E,15927
E,74028
E,4598
E,89995
E,93976
E,13985
E,59014
E,100541
E,94115
E,15255
E,4807
E,8779
E,8774
E,93745
E,15669
E,13890
E,93917
E,93609
E,93657
E,94211
E,1931
E,27544
E,27543
E,27545
E,27546
E,29421
E,9097
E,9162
E,9106
E,9103
E,93741
E,93663
E,9045
E,4390
E,4391
E,10050
E,133432
E,58698
E,93990
E,93839
E,13622
E,93612
E,93642
E,9598
E,100511
E,8783
E,14079
E,93827
E,35201
E,35200
E,6546
E,1232
F,593
F,6338
F,34990
F,15569
F,34992
F,7706
F,8141
F,14834
F,35011
F,69709
F,14837
F,100809
F,9496
F,35268
F,8348
F,8329
F,8349
F,8347
F,14388
F,59087
F,58985
F,27365
F,27359
F,27361
F,27360
F,27362
F,27363
F,27364
F,27367
F,27497
F,27368
F,27369
F,27498
F,27370
F,27371
F,27372
F,27373
F,27380
F,8649
F,27381
F,27382
F,27383
F,27499
F,27500
F,27509
F,27512
F,27506
F,27520
F,27501
F,27513
F,27514
F,27505
F,27515
F,27516
F,27502
F,27510
F,27511
F,27366
F,27517
F,27507
F,27503
F,27518
F,27519
F,27504
F,15120
F,134653
F,131094
F,132515
F,35217
F,9059
F,4600
F,15063
F,7855
F,35019
F,14045
F,13984
F,33356
F,7856
F,133556
F,133560
F,7847
F,7972
F,14106
F,6543
F,58794
F,14681
F,134762
F,14683
F,130071
F,14578
F,58798
F,69689
F,14830
F,58796
F,14755
F,35009
F,14792
F,14026
F,50978
F,9602
F,51031
F,134933
F,7474
F,15085
F,3820
F,132573
F,10087
F,5608
F,34996
F,57895
F,35021
F,134853
F,126669
F,14757
F,33362
F,27448
F,51039
F,3898
F,126792
F,90009
F,14014
F,15081
F,58552
F,129419
F,14003
F,34980
F,34993
F,10128
F,14029
F,14759
F,29406
F,14463
F,14374
F,9666
F,129457
F,14754
F,14376
F,126756
F,122290
F,122292
F,122286
F,122288
F,14462
F,14452
F,134760
F,14461
F,14453
F,130069
F,14458
F,58792
F,69688
F,14456
F,14460
F,27539
F,9392
F,9384
F,9387
F,9338
F,9358
F,9312
F,59057
F,14088
F,14216
F,28816
F,9997
F,58512
F,125587
F,90101
F,3258
F,2858
F,130180
F,1495
F,119768
F,29092
F,3627
F,2857
F,1302
F,7883
F,132092
F,124466
F,2739
F,14969
F,3673
F,134513
F,14867
F,3946
F,4463
F,129285
F,34976
F,2376
F,119628
F,10254
F,94629
F,487
F,4585
F,2261
F,134912
F,58342
F,58313
F,6496
F,10212
F,4110
F,125540
F,1802
F,10187
F,4012
F,579
F,10088
F,50987
F,4708
F,14818
F,6649
F,93274
F,3747
F,129985
F,77408
F,132076
F,132075
F,77628
F,15326
F,15336
F,15332
F,15064
F,14766
F,6709
F,6664
F,14614
F,14866
F,6663
F,14767
F,14764
F,6659
F,6655
F,15168
F,29385
F,50920
F,50924
F,50922
F,14865
F,6661
F,14468
F,6662
F,6658
F,6660
F,6654
F,14864
F,14765
F,14325
F,6635
F,6665
F,29386
F,3009
F,77549
F,130353
F,13602
F,6754
F,7967
F,58790
F,15029
F,6696
F,119345
F,7688
F,133373
F,126566
F,35299
F,14804
F,15700
F,6781
F,7063
F,7473
F,15581
F,122248
F,34986
F,122246
F,6535
F,14749
F,8016
F,7056
F,7966
F,58334
F,58570
F,122250
F,74108
F,122245
F,126568
F,133354
F,122252
F,7960
F,9134
F,89951
F,122242
F,14734
F,122262
F,6623
F,7574
F,6944
F,6059
F,15066
F,74100
F,124532
F,125588
F,7649
F,7529
F,29388
F,27521
F,94274
F,93991
F,15628
F,7308
F,4121
F,7140
F,9569
F,107431
F,27394
F,4372
F,93708
F,94048
F,134333
